SALE_ID,SALE_DATE,PRODUCT_NAME,CATEGORY,STORE_LOCATION,CUSTOMER_GENDER,QUANTITY,UNIT_PRICE,PAYMENT_METHOD,REVENUE
1,2025-01-01,Laptop,Electronics,Nelspruit,Female,1,12000.00,Card,12000.00
1,2025-01-01,Laptop,Electronics,Nelspruit,Female,1,12000.00,Card,12000.00
2,2025-01-02,Phone,Electronics,Malelane,Male,2,8000.00,Cash,16000.00
2,2025-01-02,iPhone 13,Electronics,Nelspruit,Female,1,15000.00,Card,15000.00
3,2025-01-02,Nike Sneakers,Fashion,Mbombela,Male,2,1800.00,Cash,3600.00
4,2025-01-03,Samsung TV,Electronics,Malelane,Female,1,9000.00,EFT,9000.00
5,2025-01-03,Blender,Home Appliances,Komatipoort,Male,1,1200.00,Card,1200.00
6,2025-01-04,Office Chair,Furniture,Nelspruit,Female,1,2500.00,Card,2500.00
7,2025-01-04,T-shirt,Fashion,Hectorspruit,Male,3,250.00,Cash,750.00
8,2025-01-05,Microwave,Home Appliances,Mbombela,Female,1,2000.00,EFT,2000.00
9,2025-01-05,Laptop Bag,Accessories,Malelane,Male,2,700.00,Card,1400.00
10,2025-01-06,Air Fryer,Home Appliances,Nelspruit,Female,1,1800.00,Card,1800.00
11,2025-01-06,Jeans,Fashion,Komatipoort,Male,2,600.00,Cash,1200.00
12,2025-01-07,Smart Watch,Electronics,Mbombela,Female,1,3500.00,EFT,3500.00
13,2025-01-07,Dining Table,Furniture,Nelspruit,Male,1,7000.00,Card,7000.00
14,2025-01-08,Headphones,Accessories,Hectorspruit,Female,2,1200.00,Cash,2400.00
15,2025-01-08,Dress,Fashion,Malelane,Female,1,850.00,Card,850.00
16,2025-01-09,Fridge,Home Appliances,Mbombela,Male,1,12000.00,EFT,12000.00
17,2025-01-09,Gaming Console,Electronics,Nelspruit,Male,1,8000.00,Card,8000.00
18,2025-01-10,Coffee Maker,Home Appliances,Komatipoort,Female,1,950.00,Cash,950.00
19,2025-01-10,Backpack,Accessories,Malelane,Male,2,600.00,Card,1200.00
20,2025-01-11,Curtains,Furniture,Mbombela,Female,3,400.00,EFT,1200.00
21,2025-01-11,Sandals,Fashion,Hectorspruit,Male,2,350.00,Cash,700.00
22,2025-01-12,Tablet,Electronics,Nelspruit,Female,1,5000.00,Card,5000.00
23,2025-01-12,Electric Kettle,Home Appliances,Komatipoort,Male,2,450.00,EFT,900.00
24,2025-01-13,Sofa,Furniture,Malelane,Female,1,15000.00,Card,15000.00
25,2025-01-13,Cap,Accessories,Mbombela,Male,3,200.00,Cash,600.00
26,2025-01-14,Printer,Electronics,Nelspruit,Female,1,3000.00,Card,3000.00
27,2025-01-14,Jacket,Fashion,Hectorspruit,Male,2,1200.00,EFT,2400.00
28,2025-01-15,Toaster,Home Appliances,Mbombela,Female,1,600.00,Cash,600.00
29,2025-01-15,Wardrobe,Furniture,Komatipoort,Male,1,8000.00,Card,8000.00
30,2025-01-16,Earbuds,Accessories,Malelane,Female,2,900.00,EFT,1800.00
31,2025-01-16,Skirt,Fashion,Nelspruit,Female,1,500.00,Cash,500.00
32,2025-01-17,Router,Electronics,Mbombela,Male,1,1500.00,Card,1500.00
33,2025-01-17,Bed Frame,Furniture,Hectorspruit,Female,1,9000.00,EFT,9000.00
34,2025-01-18,Vacuum Cleaner,Home Appliances,Nelspruit,Male,1,3500.00,Card,3500.00
35,2025-01-18,Sneakers,Fashion,Malelane,Male,2,2000.00,Cash,4000.00
36,2025-01-19,Monitor,Electronics,Komatipoort,Female,1,4000.00,Card,4000.00
37,2025-01-19,Handbag,Accessories,Mbombela,Female,2,1500.00,EFT,3000.00
38,2025-01-20,Oven,Home Appliances,Nelspruit,Male,1,10000.00,Card,10000.00
39,2025-01-20,Desk,Furniture,Malelane,Female,1,4500.00,Cash,4500.00
40,2025-01-21,Scarf,Fashion,Hectorspruit,Female,3,300.00,EFT,900.00
41,2025-01-21,Keyboard,Electronics,Mbombela,Male,2,800.00,Card,1600.00
42,2025-01-22,Hair Dryer,Home Appliances,Komatipoort,Female,1,700.00,Cash,700.00
43,2025-01-22,TV Stand,Furniture,Nelspruit,Male,1,2500.00,Card,2500.00
44,2025-01-23,Watch,Accessories,Malelane,Male,2,2200.00,EFT,4400.00
45,2025-01-23,Hoodie,Fashion,Mbombela,Female,2,900.00,Cash,1800.00
46,2025-01-24,Projector,Electronics,Nelspruit,Male,1,6000.00,Card,6000.00
47,2025-01-24,Iron,Home Appliances,Hectorspruit,Female,1,500.00,EFT,500.00
48,2025-01-25,Bookshelf,Furniture,Komatipoort,Male,1,3500.00,Card,3500.00
49,2025-01-25,Sunglasses,Accessories,Malelane,Female,3,400.00,Cash,1200.00
50,2025-01-26,Tracksuit,Fashion,Mbombela,Male,2,1500.00,Card,3000.00
